,管理頁面(management_pages),商業邏輯(action_pages),關聯邏輯(relate_action),關聯模組(relate_model),使用欄位(select_column),異動欄位(modify_column),刪除記錄(delete_column),備註
,,,,ManufactureOrder,id,,,僅使用
,,,,MoProduceRecord,id,,,僅使用
,,Lot::Update,"Lot::PendingLot
Api::RequestLotInfo",Lot,,"recorder
response_at
state
lot_index
weight
wire_num
twist_num
twist_direction
pinhole
appearance
note
diameter
tensions",,下軸成品建新資料
,,Lot::Update,,Machine,id,,,僅使用
,,,,Staff,id,,,僅使用
,,,,BareWire,,"round
tension",,清除張力，生產回數+1
,API管理,Api::LotOffline,Lot::ProducingLot,Lot,,"work_date
offline_at
lot_no
revolutions
meters
state",,成品下軸訊號
,,Api::LotOffline,,Machine,name,,,僅使用
,,Api::LotOffline,,MoProduceRecord,id,,,僅使用
,,Api::LotOffline,,ManufactureOrder,id,,,僅使用
,,Api::RequesetLotInfo,,,,,,拿取成品資訊
,,Api::RequesetMoInfo,,,,,,拿取製令資訊
,,Api::RequestWireInfo,,,,,,拿取素線資訊
,稼動查詢管理,Operation::MachineList,,Machine,id,,,
,,Operation::MachineList,,ManufactureOrder,"online_at
offline_at
state
machine_id",,,
,,Operation::MachineShow,"Operation::Machine::BasicInfo
Operation::Machine::MachineProductionInfo
Operation::Machine::SideBarInfo
Operation::Machine::WorkerInfo",Machine,id,,,
,,Operation::MachineShow,,ManufactureOrder,"machine_id
online_at
offline_at
state",,,
,,Operation::MachineShow,,WorkingHours,"login_at
logout_at
state
worker_id",,,
,,Operation::MachineShow,,Staff,id,,,
,,Operation::Molist,,ManufactureOrder,"machine_id
online_at
offline_at
state",,,
,,Operation::Molist,,Machine,Id,,,
,,Operation::Moshow,"Operation::Mo::BasicInfo
Operation::Mo::LotInfo
Operation::Mo::MachineInfo
Operation::Mo::SideBarInfo
Operation::Mo::WorkerInfo",ManufactureOrder,,,,
,,Operation::WorkerList,,Staff,name,,,
,,Operation::WorkerList,,WorkingHour,"login_at
logout_at
state
staff_id",,,
,,Operation::WorkerList,,ManufactureOrder,"online_at
offline_at
state",,,
,,Operation::WorkerList,,MoProduceRecord,"produce_at
state
productor_id",,,
,,Operation::WorkerList,,Lot,"recorder_id
weight
offline_at
state",,,
,,Operation::Machine::BasicInfo,,Machine,"id
name",,,
,,Operation::Machine::BasicInfo,,ManufactureOrder,"online_at
offline_at",,,
,,Operation::Machine::BasicInfo,,MoProduceRecord,"produce_at
state",,,
,,Operation::Machine::BasicInfo,,Lot,"weight
offline_at
state",,,
,,Operation::Machine::MachineProductionInfo,,Machine,id,,,
,,Operation::Machine::MachineProductionInfo,,ManufactureOrder,"online_at
mo_index",,,
,,Operation::Machine::MachineProductionInfo,,MoProduceRecord,"produce_at
state",,,
,,Operation::Machine::MachineProductionInfo,,Lot,"offline_at
weight
state",,,
,,Operation::Machine::SideBarInfo,,Machine,id,,,
,,Operation::Machine::SideBarInfo,,ManufactureOrder,"mo_index
online_at
oflfine_at
online_recorder_id
offline_recorder_id",,,
,,Operation::Machine::SideBarInfo,,MoProduceRecord,"produce_at
state",,,
,,Operation::Machine::SideBarInfo,,Lot,"offline_at
state",,,
